"Date","Value"
"03/24/2009",101.0319
"03/25/2009",100.9674
"03/26/2009",101.097
"03/27/2009",101.8388
"03/30/2009",102.749
"03/31/2009",102.3761
"04/01/2009",102.1252
"04/02/2009",100.8733
"04/03/2009",100.6429
"04/06/2009",100.9428
"04/07/2009",100.9808
"04/08/2009",100.8948
"04/09/2009",100.7988
"04/10/2009",100.7597
"04/13/2009",100.1369
"04/14/2009",99.9097
"04/15/2009",100.1497
"04/16/2009",100.0517
"04/17/2009",100.5719
"04/20/2009",101.448
"04/21/2009",101.1794
"04/22/2009",101.1142
"04/23/2009",101.0065
"04/24/2009",100.0244
"04/27/2009",100.7258
"04/28/2009",101.3145
"04/29/2009",100.0009
"04/30/2009",100.1042
"05/01/2009",100.0057
"05/04/2009",99.134
"05/05/2009",98.8529
"05/06/2009",98.9044
"05/07/2009",98.552
"05/08/2009",98.1269
"05/11/2009",97.747
"05/12/2009",97.8269
"05/13/2009",98.0276
"05/14/2009",98.1271
"05/15/2009",98.1063
"05/18/2009",97.9412
"05/19/2009",97.2827
"05/20/2009",96.5707
"05/21/2009",96.6039
"05/22/2009",95.8788
"05/26/2009",95.988
"05/27/2009",95.9622
"05/28/2009",96.1313
"05/29/2009",95.268
"06/01/2009",94.8107
"06/02/2009",94.6556
"06/03/2009",95.0751
"06/04/2009",95.2922
"06/05/2009",96.0412
"06/08/2009",96.6548
"06/09/2009",95.9537
"06/10/2009",96.1277
"06/11/2009",95.4993
"06/12/2009",95.836
"06/15/2009",96.7519
"06/16/2009",96.2616
"06/17/2009",96.64
"06/18/2009",96.1482
"06/19/2009",96.0325
"06/22/2009",96.8818
"06/23/2009",96.5196
"06/24/2009",96.2369
"06/25/2009",96.7072
"06/26/2009",96.1935
"06/29/2009",96.242
"06/30/2009",96.3761
"07/01/2009",95.6581
"07/02/2009",96.3216
"07/06/2009",96.6174
"07/07/2009",96.6321
"07/08/2009",97.0204
"07/09/2009",96.6219
"07/10/2009",97.0819
"07/13/2009",96.9995
"07/14/2009",96.6599
"07/15/2009",95.8004
"07/16/2009",95.7241
"07/17/2009",95.6036
"07/20/2009",95.0903
"07/21/2009",95.0564
"07/22/2009",94.8659
"07/23/2009",94.532
"07/24/2009",94.7046
"07/27/2009",94.6659
"07/28/2009",94.5592
"07/29/2009",95.1678
"07/30/2009",94.8967
"07/31/2009",94.2526
"08/03/2009",93.6331
"08/04/2009",93.7281
"08/05/2009",93.7848
"08/06/2009",93.9358
"08/07/2009",94.4692
"08/10/2009",94.6087
"08/11/2009",94.8678
"08/12/2009",94.5394
"08/13/2009",94.2392
"08/14/2009",94.475
"08/17/2009",95.1024
"08/18/2009",95.1118
"08/19/2009",94.4084
"08/20/2009",94.3492
"08/21/2009",94.0103
"08/24/2009",93.9345
"08/25/2009",93.9066
"08/26/2009",94.8662
"08/27/2009",94.7943
"08/28/2009",94.4489
"08/31/2009",94.6202
"09/01/2009",95.2201
"09/02/2009",95.1575
"09/03/2009",94.959
"09/04/2009",94.5811
"09/08/2009",93.7323
"09/09/2009",93.6915
"09/10/2009",93.6947
"09/11/2009",93.3225
"09/14/2009",93.6196
"09/15/2009",93.4427
"09/16/2009",92.9072
"09/17/2009",92.8287
"09/18/2009",93.1233
"09/21/2009",93.3547
"09/22/2009",92.8664
"09/23/2009",92.979
"09/24/2009",93.4708
"09/25/2009",93.5535
"09/28/2009",93.4669
"09/29/2009",93.7776
"09/30/2009",93.1907
"10/01/2009",93.5995
"10/02/2009",93.6756
"10/05/2009",93.3356
"10/06/2009",92.619
"10/07/2009",92.794
"10/08/2009",92.2074
"10/09/2009",92.2984
"10/13/2009",91.8273
"10/14/2009",91.5047
"10/15/2009",91.4367
"10/16/2009",91.6541
"10/19/2009",91.4406
"10/20/2009",91.801
"10/21/2009",91.3805
"10/22/2009",91.6075
"10/23/2009",91.7331
"10/26/2009",92.0998
"10/27/2009",92.5335
"10/28/2009",92.8152
"10/29/2009",92.4708
"10/30/2009",92.6207
"11/02/2009",92.4501
"11/03/2009",92.9037
"11/04/2009",92.3725
"11/05/2009",92.3437
"11/06/2009",92.3848
"11/09/2009",91.6861
"11/10/2009",91.6659
"11/12/2009",91.9461
"11/13/2009",91.5754
"11/16/2009",91.194
"11/17/2009",91.7419
"11/18/2009",91.249
"11/19/2009",91.7827
"11/20/2009",91.9906
"11/23/2009",91.4864
"11/24/2009",91.5539
"11/25/2009",90.9669
"11/27/2009",91.5272
"11/30/2009",91.3717
"12/01/2009",90.8323
"12/02/2009",90.8906
"12/03/2009",90.9152
"12/04/2009",91.3806
"12/07/2009",91.5414
"12/08/2009",91.9513
"12/09/2009",92.014
"12/10/2009",92.0073
"12/11/2009",92.2946
"12/14/2009",92.0305
"12/15/2009",92.3635
"12/16/2009",92.1496
"12/17/2009",93.225
"12/18/2009",93.1632
"12/22/2009",93.2903
"12/23/2009",92.9295
"12/24/2009",92.8694
"12/28/2009",92.6993
"12/29/2009",92.8838
"12/30/2009",93.0872
"12/31/2009",92.9124
"01/04/2010",92.3566
"01/05/2010",92.2236
"01/06/2010",92.0941
"01/07/2010",92.3684
"01/08/2010",92.1485
"01/11/2010",91.5997
"01/12/2010",91.7005
"01/13/2010",91.7272
"01/14/2010",91.5864
"01/15/2010",91.7668
"01/19/2010",91.9611
"01/20/2010",92.6766
"01/21/2010",92.6627
"01/22/2010",92.943
"01/25/2010",92.9099
"01/26/2010",93.3298
"01/27/2010",93.2835
"01/28/2010",93.2635
"01/29/2010",93.7638
"02/01/2010",93.7321
"02/02/2010",93.4136
"02/03/2010",93.6268
"02/04/2010",94.1401
"02/05/2010",94.6218
"02/12/2010",93.9976
"02/16/2010",93.482
"02/17/2010",93.7171
"02/18/2010",93.8752
"02/19/2010",93.9569
"02/22/2010",93.7402
"02/23/2010",93.9794
"02/24/2010",93.9775
"02/25/2010",94.3797
"02/26/2010",93.6602
"03/01/2010",93.7979
"03/02/2010",93.488
"03/03/2010",92.9861
"03/04/2010",93.4079
"03/05/2010",93.2623
"03/08/2010",93.2446
"03/09/2010",93.1941
"03/10/2010",93.0426
"03/11/2010",93.0533
"03/12/2010",92.6616
"03/15/2010",92.9642
"03/16/2010",92.595
"03/17/2010",92.4446
"03/18/2010",92.7451
"03/19/2010",93.0407
"03/22/2010",93.1333
"03/23/2010",93.006
